id,contractor_id,insurance_type,policy_number,provider_name,provider_phone,coverage_amount,deductible,effective_date,expiration_date,insurance_document_url,insurance_verified,additional_insurance_required,additional_insured_certificate_url,created_at,updated_at,created_by,updated_by
28759001-2578-4798-b7cb-98c0360038e4,5792cbdb-0c4c-40fb-9e26-389d69c45f45,Auto,447317,Carroll and Sons,878-715-3160x1810,797396.21,808.81,2024-08-08,2026-05-16,https://www.williams.com/,True,True,http://mack.com/,2026-04-17T02:03:54.109005,2026-04-17T02:03:54.109006,0314e602-84b5-4a35-8d18-13362243d90a,ac57a786-dcb0-4243-aa4d-3d8bec69d25a
4806a79f-c645-4c14-a7c9-1bd4d646c2d8,5792cbdb-0c4c-40fb-9e26-389d69c45f45,General Liability,194232,Guzman and Sons,(221)413-7457x1210,365170.56,1196.17,2024-12-24,2027-08-29,http://www.johnson-cole.com/,False,True,https://williams.com/,2026-04-17T02:03:54.109395,2026-04-17T02:03:54.109396,b6ac0def-5c16-44c2-a6cf-6f4351e0021a,7d9a8877-d26b-439e-bcb2-a655062bc191
1ad2246b-3d63-4413-bb64-8228c36ce38b,5dbfd5a0-5a8a-43c2-b51c-b9a9c13f5731,Workers Comp,855411,"Ferguson, Lee and Bailey",874-943-5601x4221,159768.16,4923.95,2024-11-28,2027-10-30,https://www.harrison.info/,False,True,http://good-phillips.net/,2026-04-17T02:03:54.109858,2026-04-17T02:03:54.109859,f82a055e-0005-4cab-81c6-62f08a9f2b7f,2ec7605b-6363-4253-aa89-d33851fe78c8
1d599ea0-92cb-4745-b5f8-0b2e582dba31,8f342388-950d-43f7-ae1e-52740c446a43,General Liability,426730,"Rodriguez, Black and Sanders",(377)623-5035,918222.27,1113.78,2024-08-03,2027-04-08,http://www.shepherd.biz/,False,False,http://www.dennis.info/,2026-04-17T02:03:54.110179,2026-04-17T02:03:54.110179,37f0f836-171d-40ed-a2c6-ac40a62650da,9b01c2fc-16f9-4ae8-a803-9fe84567f331
6ff2ed1b-59ff-475a-93a2-ef8c142b74d6,8f342388-950d-43f7-ae1e-52740c446a43,Workers Comp,631609,George Inc,215.208.0735,941828.2,596.26,2025-01-12,2027-03-08,https://www.mullins.biz/,True,False,https://www.garcia-king.com/,2026-04-17T02:03:54.110555,2026-04-17T02:03:54.110556,3f2672c6-5469-44db-aff2-740606198e38,f9cbb8d6-5a7d-4c77-ac86-44886a9cfb75
7015e9a9-373a-45b3-9b71-c82ec3b87ef2,8c32e873-6092-481d-a8fc-67ec6a6f5524,General Liability,499152,Perry and Sons,+1-801-422-6853x3096,37402.16,3666.12,2024-04-30,2026-09-03,https://www.anderson.com/,True,False,https://www.robinson.com/,2026-04-17T02:03:54.110791,2026-04-17T02:03:54.110792,84c4b8b6-8b87-4233-9df6-45cd9fe0a3b1,9fa002c7-bb10-422c-b7cd-503ce203e437
4893bfdf-9b11-4968-ada8-a201faac59aa,8c32e873-6092-481d-a8fc-67ec6a6f5524,Auto,875383,"Perkins, Edwards and Steele",(393)212-1522x49353,390644.81,4968.79,2024-07-12,2026-09-24,https://bryant.org/,True,False,http://www.herrera.com/,2026-04-17T02:03:54.111207,2026-04-17T02:03:54.111207,f18193e4-3cdf-4049-8a6f-652d96160cee,7ae771f3-13d2-4652-b3ac-7bf0cfd92bb8
01828b53-20fb-4c25-b138-302ca759d227,88f21b1d-dd36-4902-93e0-68ee39d45110,General Liability,275612,Rodriguez-Cortez,812-683-4180x4930,216802.62,1863.24,2024-09-06,2026-10-06,http://shaw-williams.org/,False,True,http://perkins.biz/,2026-04-17T02:03:54.111642,2026-04-17T02:03:54.111642,d25748af-10b5-4ada-a691-23452cded172,d25748af-10b5-4ada-a691-23452cded172
1c35a645-1553-4012-843c-934a646397e5,88f21b1d-dd36-4902-93e0-68ee39d45110,Auto,134771,"Cole, Rodriguez and Turner",001-320-227-1041,183472.51,1929.31,2025-01-22,2027-12-31,https://villarreal.org/,False,False,https://www.bautista.biz/,2026-04-17T02:03:54.112068,2026-04-17T02:03:54.112068,f1e2d02f-5d37-45ec-920d-cb0b7cf5f1c0,82b744c2-d739-442e-a475-630e6dccc42a
0d292c41-4fd1-45cf-8dcf-67ab7646ade6,9659677b-377a-41bb-8f77-f336cd5be00a,Auto,906630,"Padilla, Jordan and Fisher",+1-527-508-0922,636551.17,3183.74,2024-12-10,2026-09-10,https://kelley.com/,False,True,https://www.watts-thompson.com/,2026-04-17T02:03:54.112432,2026-04-17T02:03:54.112432,cf819173-3d4d-4760-954e-e2e90b7ca348,f613965a-e660-4275-971a-9b682bb4d594
9eafbea6-3f91-49fc-b4e2-00fb0a0b3920,9659677b-377a-41bb-8f77-f336cd5be00a,Workers Comp,944930,"Cole, Deleon and Walker",407.845.4569x388,765331.85,671.13,2024-11-04,2027-07-27,https://www.rich.org/,True,False,https://www.johnson-torres.biz/,2026-04-17T02:03:54.112802,2026-04-17T02:03:54.112803,4772e965-7a2d-480e-ad68-8c60cc248adc,6424d742-aaf9-458a-b807-7a7da17cdef3
