id,work_order_id,invoice_id,description,assigned_contractor,priority,status,vendor_id,start_time,due_date,assigned_at,completed_at,estimated_duration,service_type,notes,contractor_start_location,contractor_end_location,estimated_quantity,unit,special_requirements,anomaly_flag,anomaly_reason,created_at,updated_at,created_by,updated_by,additional_information
4f360702-492e-45ad-9651-a99ffda2c81c,9288d3c5-e3d8-49b4-b37f-5cbc040f46e9,,"Affect nearly himself quickly.
Same practice never. Activity central wide office city campaign political.",ac7a268c-6e80-4589-a114-7c3bf6d5c5ba,HIGH,COMPLETED,d5929e5c-8363-44c7-b9d1-60687a92adac,2026-03-19T17:46:33,2026-03-21T22:06:39,2026-03-18T05:47:14,2026-03-20T10:11:03,"3 days, 0:00:00",abc4016f-493c-45df-83fe-0d5103a0c509,Rate TV treat action increase difficult seat. Measure author professional city itself hold.,"49.711247,34.354598","24.4661965,63.605546",1.62,hours,Mean person fast note image free.,True,,2026-03-17T07:17:32,2026-04-15T17:29:01.176365,1df190f6-84df-4181-a4f9-e6b439ebf206,1d9e2025-99d4-4277-9653-55dd91c8f1a2,"{""source"": ""sample_generator"", ""has_photo"": true}"
9bdf04cc-4b12-455d-ba50-d004e7ced45a,a1af4b92-d21e-410c-abca-2f16ed06c66d,,Appear my those ago name writer decade guy. Her charge quickly without hold seem society. Soon show data marriage candidate note.,e3a9855c-c251-4532-b8e7-138acd55fe88,MEDIUM,ASSIGNED,897a0086-d907-4a32-8c7a-43b6b40b21c2,,2026-03-26T19:28:11,2026-03-22T18:13:23,,"3 days, 0:00:00",ee330a45-b514-43af-bcb0-afe32d8121c2,Building example we and read. Region wait take condition although great.,"53.806823,136.131353","50.7350595,-154.746055",97.5,days,Director different kind often military.,True,,2026-03-20T14:24:41,2026-04-15T17:29:01.176995,ab1866dc-2520-4b8e-8001-dd5d57effb1c,0873ad25-6f99-42be-aec8-737f29769108,"{""source"": ""sample_generator"", ""has_photo"": true}"
67f1ec16-9e37-4eb4-a801-3a3f776c4549,b89a1cee-9237-4722-a168-98a656a56ee8,,"Yourself learn notice parent. Reach decision natural.
Training imagine huge usually collection this alone. Find week how worker discussion at.",,LOW,UNASSIGNED,78e9db8d-5870-411d-ab09-04a093fad4f2,,2024-04-25T22:33:13,,,"2 days, 0:00:00",ab459ac2-cfb1-401d-98f6-e0f2aac20eef,Alone agreement vote run. Especially military fight maintain soldier town control.,,,32.18,visits,Major piece performance.,True,Knowledge total fast source not.,2024-04-22T10:46:47,2026-04-15T17:29:01.177121,ed76a050-0c39-4255-a3f8-c36bf2163f06,53c8f279-076f-46dc-ac37-326ed0d77e16,"{""source"": ""sample_generator"", ""has_photo"": false}"
2fdbd5fc-2d18-4ed3-989a-5c657a1dd3af,a333f5c0-0c88-41de-8bd9-c450d00b5d26,,"Wall another end tell. Hope yourself fly last design. Per quality thought but.
Task lead buy left discover. Boy suggest treat answer fine entire perhaps. Best attack behind nearly fine.",,LOW,UNASSIGNED,f7ac28b3-844f-4372-be52-2862c8b0ac65,,2025-07-14T17:24:45,,,"3 days, 0:00:00",ee330a45-b514-43af-bcb0-afe32d8121c2,Media early dream him Mrs purpose. Girl beat southern for talk everyone explain.,,,86.36,visits,Staff yeah forward join value.,True,Your couple important rise.,2025-07-10T01:59:09,2026-04-15T17:29:01.177209,df94b3ef-5699-4d40-9ce1-886366143142,da7340dc-dcf5-43bd-935a-ef3f039dad66,"{""source"": ""sample_generator"", ""has_photo"": true}"
c294d759-d75f-423e-8bea-5dda52f783a0,bb0aad4b-b851-4161-8da0-f5aeb5cbe859,,"Admit carry bed our former rest.
Still product shoulder how miss collection show. Show point evidence practice star government right. Power someone heart law eight nothing.",,MEDIUM,UNASSIGNED,178092bb-6e91-420c-855b-72ec438a5619,,2025-09-16T08:44:41,,,"3 days, 0:00:00",abc4016f-493c-45df-83fe-0d5103a0c509,Firm response us lead continue. View ever state conference TV.,,,8.02,visits,Born explain citizen service into life could according.,False,Hear million whole understand recently.,2025-09-12T11:20:39,2026-04-15T17:29:01.177397,d56287e7-eb7d-47fd-a338-b7d40620900c,588e7983-e422-4e28-9a05-e9bf73174dbf,"{""source"": ""sample_generator"", ""has_photo"": true}"
08413bb4-86c6-453c-8924-a0719c522560,37fdddea-087f-42b3-860d-cec1eba44914,,Ago will majority others entire. Participant then little ball main though radio watch. Most field president require save.,ff432d05-2de6-48ce-a91d-a556da35e5a4,MEDIUM,ASSIGNED,f150399c-24b0-47e7-8138-57cf58f47919,,2025-03-22T05:35:19,2025-03-16T05:14:49,,"1 day, 0:00:00",a27b5d70-5627-4402-94de-ac4074a7728f,End gun son. Such white down try. How partner baby behavior drive above.,"77.7978435,-68.413557","-81.914451,18.908541",87.85,days,Focus site few throw stock four.,False,,2025-03-16T01:13:57,2026-04-15T17:29:01.177548,4ffae281-213a-4b16-a93f-d42e237e31be,69ec720d-7daa-4c73-9ddd-c3bd93aad59e,"{""source"": ""sample_generator"", ""has_photo"": false}"
fc557748-a395-41c9-824d-817290c0858d,5be3a33c-b6a8-4911-a08f-373df60641fd,,Attention likely hard cause big. Way wall especially use stand investment. Sit natural which little. Current old top summer high.,d915f117-ab81-4b17-9d4f-b3ee8c8c718e,MEDIUM,COMPLETED,78e9db8d-5870-411d-ab09-04a093fad4f2,2025-05-05T09:18:14,2025-05-08T20:22:02,2025-05-04T13:20:37,2025-05-06T06:02:39,"1 day, 0:00:00",ab459ac2-cfb1-401d-98f6-e0f2aac20eef,Manager little early away worker.,"12.647814,-171.135648","-37.843372,-8.933848",79.95,days,Maybe city free building message name.,False,,2025-05-03T14:19:37,2026-04-15T17:29:01.177744,df94b3ef-5699-4d40-9ce1-886366143142,cf1653d3-c4a2-4120-be7f-f8db9b83573a,"{""source"": ""sample_generator"", ""has_photo"": true}"
4daadec3-862e-4d43-843c-873b12ff7259,43d5dc19-dcdf-4485-9e09-f41b7cbcfaa2,,"Hear level until difference thus theory include television. Enough he southern usually thousand.
Glass control north.
Laugh north meet dinner. Important budget would our.",8a92ca01-9637-4ef7-b10a-2a84ef750f7b,LOW,COMPLETED,f150399c-24b0-47e7-8138-57cf58f47919,2025-06-16T11:20:46,2025-06-18T15:41:44,2025-06-15T13:38:09,2025-06-16T22:42:01,"3 days, 0:00:00",507eccaa-b7aa-4165-ab69-81c8ee2fc66e,Design less send born image. Property former avoid stop call.,"45.942638,22.705439","-9.724768,-87.843371",14.02,loads,College perhaps music.,False,,2025-06-15T11:36:49,2026-04-15T17:29:01.177857,182d2292-ec8c-4631-8ec5-cc7ff2183438,12b4e7ff-bf6d-467e-8ad6-bc9679e66453,"{""source"": ""sample_generator"", ""has_photo"": true}"
1f536fab-c5a5-460a-a0de-f3f4a8374934,0f3be7e9-7a3a-4a2a-a5b2-ccf9ee8ebe30,,"Truth better them against eight mouth information. Player concern place teach approach I open seven.
Especially upon beautiful. Daughter listen myself throw everything.",0c2ec4c3-307d-4518-8f71-0422b8d16965,LOW,ASSIGNED,ce9cc217-222b-4e0e-b747-e14c984f3a44,,2024-06-21T07:27:46,2024-06-17T06:06:47,,"3 days, 0:00:00",ee330a45-b514-43af-bcb0-afe32d8121c2,Brother art serious sell wife. Scene third machine season fill think would.,"84.784769,12.891678","51.917672,24.981453",97.76,gallons,Respond price light visit get policy people whole.,False,Section reveal hold charge minute.,2024-06-16T23:37:56,2026-04-15T17:29:01.178013,1312ed14-99e4-4b4e-86fd-6c78abf0e171,3c780acb-34ff-432a-81b7-13bc865d2f58,"{""source"": ""sample_generator"", ""has_photo"": true}"
bf775aba-3079-4b2b-af25-8e7ebb020cea,9b01b84e-8dcd-4a52-841e-9c09bae7afce,,"Among baby week institution all. More answer PM range.
Bed be surface light. Character bad finally international responsibility. After education book wide brother career exactly.",b37a4dcf-308d-4d55-8a14-16096951f7bc,MEDIUM,ASSIGNED,178092bb-6e91-420c-855b-72ec438a5619,,2024-09-12T19:56:19,2024-09-11T02:25:35,,"1 day, 0:00:00",abc4016f-493c-45df-83fe-0d5103a0c509,Bag pretty Democrat physical. Participant key meet view always line.,"-49.0798235,103.967223","-61.5771395,-161.721166",26.52,hours,Health including section including accept receive season.,True,,2024-09-10T07:22:38,2026-04-15T17:29:01.178115,3fd3b8c4-92be-4c33-9f04-bf010ab5e497,d6071954-5342-446c-8be9-25c32dd70af5,"{""source"": ""sample_generator"", ""has_photo"": false}"
